make,model,license_plate,vin_code,client_name
Mercedes-Benz,SL-Class,AV9889,WA1DVAFE5AD147009,Katya
Honda,Odyssey,TG4778,WDDHF2EB4DA852557,Jecho
Porsche,911,AI1305,1B3CB9HAXBD844097,Marlane
Volvo,850,ET3606,1D7RV1GT5AS269119,Jeramie
Buick,Regal,TG4861,WAUDL74F56N581200,Liana
Lexus,SC,DL2968,5N1AA0NC0AN360342,Paige
Buick,Skyhawk,UA9950,1C4RDJDG9CC958128,Cristin
Pontiac,Firebird,AV6156,WVWAN7AN5DE881392,Jaquith
Nissan,Frontier,WN3136,1FMCU9E72AK277453,Melloney
Chevrolet,Corvette,EK7276,WAUHF78P87A834241,Berne
GMC,2500,AC7048,2C3CDXEJ2DH406539,Micheline
Mazda,MX-5,LA7827,5GADT13SX72368925,Currie
Ford,Excursion,LH1985,JHMFA3F20BS076907,Nancie
Lincoln,Town Car,KE3449,WDDHF5KB8FB969559,Gary
Chevrolet,Bel Air,DL5703,JN1CV6FE3FM207507,Anica
Nissan,Pathfinder,IB2906,WA1AY94L08D169472,Tallou
Ford,E-Series,CX6773,WBAGL63442D136079,Sarah
Lexus,HS,KE8361,JN1CV6EKXBM169601,Emelen
Mercedes-Benz,M-Class,IB7269,19UUA56872A441244,Karyl
Mercedes-Benz,500SEL,AF4678,3VW217AU4FM461477,Nester
Chevrolet,Suburban 1500,BA6344,JN8AZ1MU7CW868774,Rockie
Mazda,Protege,KL8886,1G6DP8E35C0379003,Jessa
Mercedes-Benz,S-Class,LA2192,1G6AH5R39E0433253,Emmott
Audi,A5,KE4306,JN1BY0AP2AM733659,Hermione
Chevrolet,Camaro,NH4302,3VW467AT7DM987763,Ches
Pontiac,Sunbird,KL8773,JTHBC1KS4B5404637,Tish
Volvo,S40,AM6212,5J8TB3H59EL885105,Keane
Volkswagen,GTI,DL3726,3N1CN7AP0EK111248,Gussy
Chrysler,LHS,SA4032,WAUXG94F29N451831,William
Mercury,Lynx,ET1697,3HGGK5G55FM902917,Neala
Buick,Regal,NZ6947,WBAEN33434P452820,Hamish
Dodge,Grand Caravan,AC5775,1GTN1TEH4FZ026236,Torrance
BMW,Z4,IB4379,TRUSX28N711709199,Marillin
Mitsubishi,Starion,EK4642,1G6KD54Y53U942006,Kip
Cadillac,Escalade EXT,SQ6228,WDDHF8JB9DA576126,Homerus
Mazda,CX-7,SQ5036,WVWAB7AJ5CW522574,Nicola
Mercedes-Benz,GL-Class,KE8507,WBAEV33432K573602,Wilfrid
Lincoln,Continental Mark VII,EK6173,1GYFC56299R146939,Reinhold
Subaru,SVX,KL7178,WAUDK78TX8A952218,Craggie
Ford,Probe,NZ3376,5UXWY3C56F0310835,Hermina
Cadillac,STS,BA6235,YV126MFB6F1068257,Prudi
Mazda,RX-7,NH5022,SAJWA4GB4EL575201,Jens
Lotus,Esprit,EK9440,WVGAV7AX4CW750007,Shaw
Pontiac,Grand Prix,AM2576,SCBZB25EX2C366909,Netti
Chrysler,LHS,AC3188,SCFFDABM0EG453393,Tammie
Audi,TT,SK3030,1FTEX1CM2DF691506,Sigvard
Chrysler,Sebring,SA2908,1GKS2FEJ6CR518237,Wynne
Mercury,Villager,SQ3804,WAUVT68E04A138280,Mayne
Volvo,XC70,TG3467,5BZBF0AAXFN580352,Carree
Volkswagen,Type 2,BA9664,1J4NF1FB9BD109341,Letitia
Mitsubishi,Cordia,WN5297,JN1CV6FE2FM535985,Brok
Mercury,Sable,SQ5096,2T2BK1BA9FC150682,Hilario
Ford,EXP,WN5978,YV1612FH7E1940727,Sherlock
Chevrolet,SSR,SA3089,1G6DM57TX70180717,Roanne
Cadillac,CTS,LH1888,JH4NA21634S928363,Sayre
Infiniti,G25,WN3151,1N4AL2AP2AN404687,Darbee
Jaguar,S-Type,AF8531,WVGAV3AX7EW892198,Killy
Ford,E-Series,UA5107,JTJBM7FXXB5461896,Claudelle
Suzuki,XL-7,KE8393,1B3CB9HA2AD442573,Bess
Buick,Park Avenue,SQ8385,WBAEP33413P183662,Nappie
Pontiac,Sunfire,AV7509,WAUGFBFC1DN287123,Jone
Mazda,B-Series,UA5419,JTJYWRBZ9F2909513,Antoni
Ford,Escape,QR6341,TRUTC28N761205422,Tiffanie
Chevrolet,Classic,AM4613,4USBT53433L135370,Ellene
Honda,CR-X,DL9400,1N4AL3AP1DC446905,Reed
Mazda,MX-6,AV3279,1GYS3KEF0DR955921,Fleming
Hyundai,Tucson,BA2903,WAUVFAFH1DN435994,Karim
Volkswagen,Touareg,AV8641,WDDGF4HB4CF395379,Faun
Acura,MDX,WN3418,4T1BD1EB9EU115611,Flem
Subaru,Outback,LA5728,4USBT33505L841633,Jsandye
Volkswagen,Passat,LH2394,1C4RDHDG2CC482796,Harris
Buick,Electra,AC5689,1G6AH5R37D0289426,Hymie
Pontiac,6000,LH1978,JTHBL1EF7B5607682,Luther
Hyundai,Elantra,NH4775,1FTSW2B54AE498524,Marguerite
Chevrolet,Vega,QR6498,1GD022CG3CZ247328,Shell
BMW,3 Series,BA8890,1G6DP577270143249,Shandy
Mazda,CX-7,LA6719,JN1AZ4EH6BM876618,Anallise
GMC,Envoy,NZ7772,WDDGF4HB8DG916390,Robinetta
Ford,Club Wagon,QR6341,1D4PU2GKXAW212542,Roddy
Mercury,Grand Marquis,AC2119,1G6DC67A980654200,Thibaud
Volkswagen,GTI,SQ8216,WAUKF78E78A588496,Skelly
Aston Martin,V8 Vantage,QF4866,WA1WMBFE0CD263366,Marga
BMW,760,ET5683,3D73Y3HL8BG191046,Marten
Pontiac,Grand Prix,ET7440,1C6RD6FK3CS703180,Tadio
Mitsubishi,Mirage,NZ8208,2D4RN4DG9BR859865,Sid
Chevrolet,Corvette,QR5497,1C6RD7HT7CS266103,Erma
Kia,Sedona,CX7264,3D73Y4HL7BG197085,Adria
Oldsmobile,Silhouette,IB9873,1FTWX3D59AE378087,Jaimie
Ford,E-Series,NZ8766,1G6KE54Y22U081864,Harri
Subaru,Brat,NH4045,1C3CDWEA8CD992492,Jecho
Acura,MDX,QR7315,JHMGE8G3XCC084036,Lonni
Toyota,T100 Xtra,LA7466,WA1CM74L69D163301,Obadias
GMC,Sierra 3500,TG5206,1FTEW1E80AK944442,Alessandra
Chevrolet,Cruze,AV5916,WAUKH94F96N366634,Cicily
Toyota,T100 Xtra,AF3819,JTDKN3DU2A0032555,Benn
Mercedes-Benz,C-Class,QR4532,4T1BD1FK2DU306123,Georgi
Dodge,Neon,AZ9564,KMHTC6AD8DU481828,Ophelie
Nissan,Frontier,QR8726,1GD02ZCG4CF876249,Merissa
Porsche,Boxster,SA2145,WAUHE98P49A933253,Yasmin
Mitsubishi,Endeavor,ET6785,WBA3C1G50DN480199,Uriel
Hyundai,Santa Fe,AV1487,1N6AA0CC8EN473305,Trstram
Volvo,S80,LA1090,WBALL5C55FP617612,Alonzo
Dodge,Ram Van 1500,AZ3832,4USCN53452L913097,Kanya
Audi,S5,SA5934,WDDUG7GB9FA175773,Damara
Toyota,Prius,LH3163,WBASN4C50CC895529,Vincents
Audi,S4,SQ7058,3C63DPGL6CG658651,Rafaelia
Toyota,Camry Hybrid,SQ4687,WBA1J9C50FV663591,Laurence
Infiniti,G,SA8464,1GYFC26219R092003,Rhetta
Volvo,V50,LA7059,WAUSF78K49N110505,Donavon
Pontiac,GTO,SQ6733,1G6DV57V080007580,Xavier
Volvo,S40,SA2968,1GKS1HE04BR275869,Balduin
Toyota,Corolla,QR2909,1FA6P8AM0F5061954,Katine
Ford,F350,WN2925,1G4GH5E36CF901197,Preston
Pontiac,Bonneville,SQ6124,WA1DGBFE0ED303043,Huntley
Hyundai,Tiburon,BA9137,JH4DC54856S747174,Coreen
Nissan,Frontier,NZ9726,WAUVFAFH1AN335289,Krystalle
Subaru,Legacy,WN9889,1C3CDWEA6CD172718,Angelique
Dodge,Shadow,IB5133,5TDBM5G17CS705520,Normand
Mitsubishi,Mighty Max,CX1637,WDDEJ9EB2DA654621,Maynard
Land Rover,Freelander,SK6503,1G6KE57Y11U946396,Orlando
Lexus,CT,AF8267,1G4CU541X24256932,Athene
Isuzu,Rodeo,LA3204,WDDHF5GB4AA697101,Janot
Hyundai,Santa Fe,AZ7443,SCFFDABM5DG711552,Emilie
Chrysler,Cirrus,CX8409,1FTWW3B57AE168805,Freddie
Chevrolet,1500,NH8541,SCFAB02A07G630298,Joyous
Buick,Regal,AC1219,WBAVC53548F568467,Roarke
Audi,80,AF8541,WAUDFAFC4DN073207,Odelle
Chevrolet,Camaro,SQ5181,WAUBH64BX1N194683,Myranda
Ford,F350,QR9862,WUAUUAFG8CN978448,Demetra
Bentley,Continental Flying Spur,AV4539,1FTMF1E82AF802811,Lula
Toyota,Sienna,DL1925,WAUBC48H15K205126,Edeline
Lotus,Esprit,AC5615,5FRYD4H89FB399962,Avigdor
Ford,E350,NH2322,1N6AA0EC6FN338984,Karlik
Chevrolet,Express 3500,LA9661,1FMHK7B83CG869706,Marla
Chevrolet,Sportvan G30,NH3133,WA1VFBFL9DA298561,Chaddie
Dodge,Spirit,QF1731,3N1AB6AP8BL264346,Abraham
Ford,Econoline E350,BA9357,5FRYD4H44FB987880,Aloysia
GMC,Canyon,SK6941,WAUXD68D92A384206,Reinald
Buick,Regal,ET4912,1G6AH5S33D0927696,Jasun
Mercury,Villager,TG6294,WBAKE3C50DE370941,Britt
Dodge,Colt,QF8539,WDDGF4HB2ER872893,Shantee
Maserati,228,AM3006,JH4DB75591S231105,Raynard
Suzuki,Verona,AI2273,1GYFK13299R634627,Paulo
BMW,M6,AA2358,WBA5B3C59FD458403,Egan
Audi,A5,AC7816,1FTWF3D53AE429991,Albrecht
Kia,Sedona,NZ8766,1G6DF8E58C0252203,Rouvin
Kia,Optima,AC8457,1C6RD7GP1CS131901,Peyton
Buick,Skylark,SQ6124,JHMZF1D43ES352234,Obediah
Mercury,Topaz,QR7129,1ZVBP8AN6A5635934,Antons
Mercury,Montego,UA2052,JH4CU25669C877502,Meridel
Mercedes-Benz,S-Class,TG6097,5GADT13S042871407,Lynelle
Mercedes-Benz,W201,IB5029,NM0GE9F75F1744590,Lenard
Ford,Laser,IB7731,2G61T5S34F9422502,Tova
Jaguar,XJ Series,CX5881,WBAPK5C59AA032547,Candice
Scion,xB,WN7802,5J8TB2H58CA936838,Juline
Mercury,Mariner,IB2413,WAUGGAFR7EA079011,Stephanie
Mercury,Mountaineer,AF7295,3D7TP2CT4BG677003,Moyna
Volvo,S80,AM5247,1GYS4GEF9BR536411,Eden
Hummer,H3,AZ7651,SCBBR93W07C485755,Fran
Kia,Borrego,AI9055,1GYS3DEF0ER367191,Amerigo
Kia,Amanti,AI2719,WBAVS135X7F071451,Farrel
Acura,Integra,SK2122,KNDJT2A24D7392212,Suellen
Maybach,57,CX4721,1N4AA5APXAC975444,Leupold
Isuzu,Rodeo,LA3448,SCBLF34F65C382376,Ollie
Oldsmobile,88,QF7728,3C3CFFAR7CT378131,Gayle
Nissan,JUKE,KL3207,1GTN1TEX5CZ085685,Lorilyn
Acura,Legend,EK1205,KMHD35LH1FU120801,Alvin
Maybach,62,BA6099,WAUHFAFL4AA409006,Arny
Mercedes-Benz,SL-Class,AA9987,WBAEJ13403A302990,Kameko
Nissan,Altima,IB1115,2G4GZ5GV4B9104398,Leilah
GMC,Sierra 1500,LH6305,1N6AA0EC5EN821171,Marisa
